"Global Coverage"
"Metrics"
"McCabe - Cyclomatic Complexity"
"Project:"
"McCabe - Cyclomatic Complexity","Project","Cumulated:",233

"Sources:"
"McCabe - Cyclomatic Complexity","Sources","Average: ","4.66"
"McCabe - Cyclomatic Complexity","Sources","Average Deviation: ","6.72"
"McCabe - Cyclomatic Complexity","Sources","Minimum: ","0"
"McCabe - Cyclomatic Complexity","Sources","Maximum: ","75"

"Functions:"
"McCabe - Cyclomatic Complexity","Functions","Average: ","1.38"
"McCabe - Cyclomatic Complexity","Functions","Average Deviation: ","0.65"
"McCabe - Cyclomatic Complexity","Functions","Minimum: ","1"
"McCabe - Cyclomatic Complexity","Functions","Maximum: ","12"

"eLOC - Effective Lines of Code"
"Project:"
"eLOC - Effective Lines of Code","Project","Cumulated:",709

"Sources:"
"eLOC - Effective Lines of Code","Sources","Average: ","14.18"
"eLOC - Effective Lines of Code","Sources","Average Deviation: ","22.04"
"eLOC - Effective Lines of Code","Sources","Minimum: ","0"
"eLOC - Effective Lines of Code","Sources","Maximum: ","413"

"Functions:"
"eLOC - Effective Lines of Code","Functions","Average: ","4.20"
"eLOC - Effective Lines of Code","Functions","Average Deviation: ","4.23"
"eLOC - Effective Lines of Code","Functions","Minimum: ","1"
"eLOC - Effective Lines of Code","Functions","Maximum: ","102"

"Directories"
"Directory","Condition %","eLOC - Effective Lines of Code","McCabe - Cyclomatic Complexity"
"CocoImpactBased",=0/0,,
"CocoImpactBased/new",=0/0,,
"CocoImpactBased/new/textedit",=0/0,,
"CocoImpactBased/new/textedit/textedit_v1",=0/0,,
"MinGw11",=0/0,,
"MinGw11/mingw64",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include/sdks",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include/sec_api",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include/sec_api/sys",=0/0,,
"MinGw11/mingw64/x86_64-w64-mingw32/include/sys",=0/0,,

"Source Tree"
"Source","Condition %","Manual Validations","Absolute Path","Executed Instrumentations","Count of Instrumentations","eLOC - Effective Lines of Code","McCabe - Cyclomatic Complexity"
"crtdefs.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\crtdefs.h",0,0,0,0
"ctype.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\ctype.h",0,0,0,0
"errno.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\errno.h",0,0,0,0
"limits.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\limits.h",0,0,0,0
"locale.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\locale.h",0,0,0,0
"malloc.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\malloc.h",0,0,10,5
"math.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\math.h",0,0,89,32
"process.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\process.h",0,0,0,0
"pthread.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread.h",0,0,0,0
"pthread_compat.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread_compat.h",0,0,0,0
"pthread_signal.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread_signal.h",0,0,0,0
"pthread_time.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread_time.h",0,0,0,0
"pthread_unistd.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\pthread_unistd.h",0,0,0,0
"_mingw_ddk.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\sdks\_mingw_ddk.h",0,0,0,0
"stdio_s.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\sec_api\stdio_s.h",0,0,7,7
"stdlib_s.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\sec_api\stdlib_s.h",0,0,9,9
"string_s.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\sec_api\string_s.h",0,0,5,5
"timeb_s.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\sec_api\sys\timeb_s.h",0,0,0,0
"wchar_s.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\sec_api\wchar_s.h",0,0,16,16
"signal.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\signal.h",0,0,0,0
"stdarg.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stdarg.h",0,0,0,0
"stddef.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stddef.h",0,0,0,0
"stdint.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stdint.h",0,0,0,0
"stdio.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stdio.h",0,0,42,14
"stdlib.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\stdlib.h",0,0,15,13
"string.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\string.h",0,0,2,2
"swprintf.inl",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\swprintf.inl",0,0,14,4
"timeb.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\sys\timeb.h",0,0,1,1
"types.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\sys\types.h",0,0,0,0
"time.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\time.h",0,0,10,10
"vadefs.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\vadefs.h",0,0,0,0
"wchar.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\wchar.h",0,0,61,31
"wctype.h",=0/0,,"C:\MinGw11\mingw64\x86_64-w64-mingw32\include\wctype.h",0,0,0,0

"Namespaces and Classes"
"Classes/Namespaces","Condition %","eLOC - Effective Lines of Code","McCabe - Cyclomatic Complexity"
"TextEdit",=0/0,413,75

"Function Tree"
"Function","Prototype","Condition %","Manual Validations","File","Absolute Path","Position","Executed Instrumentations","Manually Validated Instrumentations","Count of Instrumentations","eLOC - Effective Lines of Code","McCabe - Cyclomatic Complexity"
"TextEdit",,=0/0,,,,,0,0,0,413,75
"TextEdit::TextEdit","TextEdit::TextEdit(QWidget *parent)",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","36-94",0,0,0,39,1
"TextEdit::about","void TextEdit::about()",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","654-659",0,0,0,3,1
"TextEdit::alignmentChanged","void TextEdit::alignmentChanged(Qt::Alignment a)",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","686-697",0,0,0,8,5
"TextEdit::clipboardDataChanged","void TextEdit::clipboardDataChanged()",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","647-652",0,0,0,1,1
"TextEdit::closeEvent","void TextEdit::closeEvent(QCloseEvent *e)",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","96-102",0,0,0,3,2
"TextEdit::colorChanged","void TextEdit::colorChanged(const QColor &c)",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","679-684",0,0,0,3,1
"TextEdit::currentCharFormatChanged","void TextEdit::currentCharFormatChanged(const QTextCharFormat &format)",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","636-640",0,0,0,2,1
"TextEdit::cursorPositionChanged","void TextEdit::cursorPositionChanged()",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","642-645",0,0,0,1,1
"TextEdit::fileNew","void TextEdit::fileNew()",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","417-423",0,0,0,3,2
"TextEdit::fileOpen","void TextEdit::fileOpen()",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","425-431",0,0,0,4,2
"TextEdit::filePrint","void TextEdit::filePrint()",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","461-474",0,0,0,8,3
"TextEdit::filePrintPdf","void TextEdit::filePrintPdf()",=0/0,,"textedit.cpp","C:\CocoImpactBased\new\textedit\textedit_v1\textedit.cpp","496-512",0,0,0,9,3
